staff_name,date,start_time,end_time,role,notes,event_id,id,created_date,updated_date,created_by_id,created_by,is_sample
"Available","2026-08-02","15:00","18:00","bar","Available","","6974f1142c0e673f4d219569","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-02","15:00","18:00","gate","Available","","6974f1142c0e673f4d219565","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-01","12:00","15:00","bar","Available","","6974f1142c0e673f4d219560","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-01","12:00","15:00","gate","Available","","6974f1142c0e673f4d21955c","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-02","18:00","21:00","gate","Available","","6974f1142c0e673f4d219566","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-02","21:00","00:00","gate","Available","","6974f1142c0e673f4d219567","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-01","18:00","21:00","gate","Available","","6974f1142c0e673f4d21955e","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-07-31","18:00","21:00","bar","Available","","6974f1142c0e673f4d21955a","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-02","12:00","15:00","bar","Available","","6974f1142c0e673f4d219568","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-02","18:00","21:00","bar","Available","","6974f1142c0e673f4d21956a","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-07-31","15:00","18:00","bar","Available","","6974f1142c0e673f4d219559","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-02","12:00","15:00","gate","Available","","6974f1142c0e673f4d219564","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-01","21:00","00:00","bar","Available","","6974f1142c0e673f4d219563","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-01","21:00","00:00","gate","Available","","6974f1142c0e673f4d21955f","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-02","21:00","00:00","bar","Available","","6974f1142c0e673f4d21956b","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-07-31","21:00","00:00","bar","Available","","6974f1142c0e673f4d21955b","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-01","15:00","18:00","bar","Available","","6974f1142c0e673f4d219561","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-01","15:00","18:00","gate","Available","","6974f1142c0e673f4d21955d","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-01","18:00","21:00","bar","Available","","6974f1142c0e673f4d219562","2026-01-24T16:19:32.803000","2026-01-24T16:19:32.803000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-07-31","21:00","00:00","gate","Available","","6974f1142c0e673f4d219557","2026-01-24T16:19:32.802000","2026-01-24T16:19:32.802000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-07-31","12:00","15:00","bar","Available","","6974f1142c0e673f4d219558","2026-01-24T16:19:32.802000","2026-01-24T16:19:32.802000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-07-31","15:00","18:00","gate","Available","","6974f1142c0e673f4d219555","2026-01-24T16:19:32.802000","2026-01-24T16:19:32.802000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-07-31","12:00","15:00","gate","Available","","6974f1142c0e673f4d219554","2026-01-24T16:19:32.802000","2026-01-24T16:19:32.802000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-07-31","18:00","21:00","gate","Available","","6974f1142c0e673f4d219556","2026-01-24T16:19:32.802000","2026-01-24T16:19:32.802000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-08-02","14:00","18:00","gate","Afternoon shift - Available","","6974f05e8b5fed125d593210","2026-01-24T16:16:30.379000","2026-01-24T16:16:30.379000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-07-31","16:00","20:00","bar","Evening shift - Available","","6974f05e8b5fed125d59320a","2026-01-24T16:16:30.379000","2026-01-24T16:16:30.379000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
"Available","2026-07-31","20:00","23:30","bar","Late shift - Available","","6974f05e8b5fed125d59320b","2026-01-24T16:16:30.379000","2026-01-24T16:16:30.379000","696b7ab50d412f960295a324","darren@holmgraphics.ca","false"
